PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
0.0002,94.2033,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,94.2036,106.4283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,106.4284,117.8538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,117.872,118.8693,1,118.8706,122.87,left,1,0.6507,,122.8703,123.8699,0,0,0,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,123.8704,124.9197,1.05,124.92,128.9202,left,1,0.4035,,128.9212,129.9199,0,1,1,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,129.9204,130.4196,0.5,130.4202,134.4199,left,1,0.435,,134.4206,135.4197,0,2,2,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,135.42,136.1697,0.75,136.1705,140.1688,left,1,0.408,,140.1694,141.1699,0,3,3,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,141.1703,141.5689,0.4,141.5694,145.5696,right,1,0.3496,,145.5703,146.5699,0,4,4,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,146.5705,147.4694,0.9,147.4702,151.47,left,1,0.5257,,151.4707,152.4699,0,5,5,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,152.4703,153.6701,1.2,153.671,157.6703,right,1,0.2909,,157.6715,158.67,0,6,6,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,158.6705,159.5697,0.9,159.5703,163.5691,right,1,0.3808,,163.5699,164.5697,0,7,7,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,164.5699,165.8702,1.3,165.8712,169.8695,right,1,0.5138,,169.8698,170.8696,0,8,8,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,170.8698,171.2695,0.4,171.2698,175.2695,right,1,0.3569,,175.2703,176.2696,0,9,9,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,176.27,177.6699,1.4,177.6705,181.6699,left,1,0.4753,,181.6706,182.6696,0,10,10,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,182.6699,183.2197,0.55,183.22,187.2198,left,1,0.359,,187.2208,188.2193,0,11,11,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,188.2203,189.2195,1,189.22,193.2201,left,1,0.6197,,193.2211,194.2196,0,12,12,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,194.22,195.2199,1,195.2205,199.2199,right,1,0.6002,,199.2208,200.2195,0,13,13,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,200.2202,200.6696,0.45,200.6704,204.6699,,0,,,204.6709,205.6701,0,14,14,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
