location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
1,0,14.256,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,14.256,41.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,41.777,79.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,79.042,80.04,1,80.042,84.04,left,1,1.116,,84.041,85.043,0,0,0,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,85.045,85.843,0.8,85.843,89.842,right,1,0.467,,89.843,90.839,0,1,1,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,90.839,92.389,1.55,92.389,96.39,,0,,,96.39,97.389,0,2,2,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,97.389,98.489,1.1,98.489,102.489,left,1,0.617,,102.49,103.477,0,3,3,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,103.477,104.676,1.2,104.677,108.678,left,1,0.784,,108.679,109.673,0,4,4,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,109.673,111.122,1.45,111.122,115.122,left,1,0.717,,115.122,116.121,0,5,5,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,116.122,117.623,1.5,117.623,121.621,,0,,,121.622,122.622,0,6,6,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,122.622,123.272,0.65,123.273,127.272,right,0,1.036,,127.272,128.272,0,7,7,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,128.272,128.972,0.7,128.972,132.972,right,1,0.798,,132.972,133.971,0,8,8,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,133.971,134.475,0.5,134.475,138.474,left,0,0.886,,138.475,139.475,0,9,9,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,139.476,140.076,0.6,140.076,144.076,right,0,1.399,,144.076,145.075,0,10,10,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,145.076,146.526,1.45,146.526,150.525,left,1,0.566,,150.526,151.522,0,11,11,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,151.522,152.125,0.6,152.126,156.122,left,1,0.75,,156.123,157.121,0,12,12,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,157.121,158.372,1.25,158.372,162.372,left,1,0.701,,162.373,163.375,0,13,13,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,163.375,163.825,0.45,163.825,167.825,right,1,0.567,,167.826,168.821,0,14,14,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,168.822,169.821,1,169.822,173.821,right,1,1.285,,173.822,174.821,0,15,15,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,174.821,175.321,0.5,175.321,179.323,right,0,1.084,,179.323,180.321,0,16,16,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,180.322,181.121,0.8,181.121,185.121,right,1,0.733,,185.122,186.121,0,17,17,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,186.122,187.224,1.1,187.224,191.224,left,1,0.7,,191.225,192.225,0,18,18,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,
1,,,2026-03-12_16h11.34,ant_ver113,2025.2.3,MacIntel,71.42857143,117156,117156,,,,,192.225,193.525,1.3,193.526,197.524,left,1,0.732,,197.525,198.521,0,19,19,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,
