location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
1,0.0011,14.6245,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,14.625,253.4654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,253.4657,294.5891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,,,294.6254,296.0718,1.45,296.0738,300.0693,right,1,0.8671,,300.0699,301.0685,0,0,0,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,,,301.0694,301.6186,0.55,301.6202,305.615,left,1,0.9504,,305.6163,306.6146,0,1,1,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,,,306.6154,307.7654,1.15,307.766,311.7622,left,1,0.6304,,311.7633,312.7639,0,2,2,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,,,312.7644,313.2603,0.5,313.261,317.2575,left,1,0.5002,,317.2584,318.256,0,3,3,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,,,318.2564,318.8064,0.55,318.8076,322.8038,left,1,0.4613,,322.8051,323.8021,0,4,4,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,,,323.8025,324.902,1.1,324.9027,328.8997,left,1,0.5175,,328.9009,329.8989,0,5,5,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,,,329.8994,331.2476,1.35,331.2484,335.2451,left,0,0.465,,335.2459,336.2437,0,6,6,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,,,336.2442,337.3936,1.15,337.3941,341.3911,right,1,0.6132,,341.392,342.3899,0,7,7,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,,,342.3905,343.6898,1.3,343.6906,347.6867,left,1,0.6671,,347.6879,348.6869,0,8,8,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,,,348.6875,349.9361,1.25,349.9368,353.9319,left,1,0.616,,353.9327,354.9322,0,9,9,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,,,354.9328,355.732,0.8,355.7327,359.7295,left,1,0.4984,,359.7306,360.7286,0,10,10,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,,,360.7292,361.8271,1.1,361.828,365.8239,left,1,0.4996,,365.8246,366.8246,0,11,11,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,,,366.8251,367.2733,0.45,367.274,371.2711,left,1,0.4789,,371.2721,372.2707,0,12,12,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,,,372.2711,373.7704,1.5,373.7711,377.7676,left,1,0.4992,,377.7683,378.7666,0,13,13,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_15h29.01.609,ant_ver113,2025.2.3,MacIntel,58.82352941,122953,122953,,,,,378.7672,379.5662,0.8,379.5669,383.5635,left,1,0.4489,,383.5645,384.5628,0,14,14,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
