location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration
2,0.0002,18.0002,2026-02-27_18h12.16.088,ant_ver113,2025.2.3,MacIntel,59.88023952,12628,12628,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2026-02-27_18h12.16.088,ant_ver113,2025.2.3,MacIntel,59.88023952,12628,12628,18.0004,52.3326,,,,,,,,,,,,,,,,,,,,,,,
2,,,2026-02-27_18h12.16.088,ant_ver113,2025.2.3,MacIntel,59.88023952,12628,12628,,,52.3327,309.4933,,,,,,,,,,,,,,,,,,,,,
2,,,2026-02-27_18h12.16.088,ant_ver113,2025.2.3,MacIntel,59.88023952,12628,12628,,,,,309.5102,310.609,1.1,310.6095,314.6094,,0,314.6098,315.6114,0,0,0,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,
2,,,2026-02-27_18h12.16.088,ant_ver113,2025.2.3,MacIntel,59.88023952,12628,12628,,,,,315.6232,316.7756,1.15,316.7776,320.776,,0,320.7762,321.7759,0,1,1,2,1,stim/centre.png,stim/congRight.png,1,right,0,,
2,,,2026-02-27_18h12.16.088,ant_ver113,2025.2.3,MacIntel,59.88023952,12628,12628,,,,,321.7771,322.6254,0.85,322.6258,326.6256,,0,326.6258,327.6256,0,2,2,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,
2,,,2026-02-27_18h12.16.088,ant_ver113,2025.2.3,MacIntel,59.88023952,12628,12628,,,,,327.6291,328.8258,1.2,328.8285,332.8249,,0,332.825,333.8248,0,3,3,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,
2,,,2026-02-27_18h12.16.088,ant_ver113,2025.2.3,MacIntel,59.88023952,12628,12628,,,,,333.8257,334.9246,1.1,334.9253,338.9258,right,0,338.926,339.9256,0,4,4,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,1.1524,
2,,,2026-02-27_18h12.16.088,ant_ver113,2025.2.3,MacIntel,59.88023952,12628,12628,,,,,339.9267,341.3753,1.45,341.3757,345.3757,,0,345.3758,346.3747,0,5,5,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,
2,,,2026-02-27_18h12.16.088,ant_ver113,2025.2.3,MacIntel,59.88023952,12628,12628,,,,,346.375,347.5755,1.2,347.5764,351.5756,,0,351.5758,352.5755,0,6,6,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,
2,,,2026-02-27_18h12.16.088,ant_ver113,2025.2.3,MacIntel,59.88023952,12628,12628,,,,,352.576,353.1755,0.6,353.1761,357.1754,,0,357.1758,358.1758,0,7,7,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,
2,,,2026-02-27_18h12.16.088,ant_ver113,2025.2.3,MacIntel,59.88023952,12628,12628,,,,,358.1772,359.2253,1.05,359.2259,375.9773,,0,375.978,375.9781,0,8,8,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,
2,,,2026-02-27_18h12.16.088,ant_ver113,2025.2.3,MacIntel,59.88023952,12628,12628,,,,,375.979,376.0059,0.55,376.0076,378.2075,,0,378.2077,381.0075,0,9,9,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,
