location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
1,0.001,10.13,2026-01-29_21h54.37.229,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,126464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-01-29_21h54.37.229,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,126464,10.13,20.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-01-29_21h54.37.229,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,126464,,,20.28,30.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-01-29_21h54.37.229,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,126464,,,,,30.619,31.864,1.25,31.865,35.864,left,1,0.767,,35.865,36.864,0,0,0,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-01-29_21h54.37.229,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,126464,,,,,36.865,37.463,0.6,37.464,41.464,left,1,0.466,,41.465,42.463,0,1,1,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-01-29_21h54.37.229,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,126464,,,,,42.464,43.613,1.15,43.614,47.613,left,1,0.467,,47.615,48.613,0,2,2,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-01-29_21h54.37.229,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,126464,,,,,48.614,49.714,1.1,49.715,53.714,left,1,0.434,,53.715,54.714,0,3,3,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-01-29_21h54.37.229,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,126464,,,,,54.715,55.364,0.65,55.365,59.364,right,1,0.518,,59.365,60.364,0,4,4,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-01-29_21h54.37.229,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,126464,,,,,60.364,60.764,0.4,60.765,64.764,left,1,0.39,,64.765,65.764,0,5,5,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-01-29_21h54.37.229,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,126464,,,,,65.765,67.214,1.45,67.215,71.214,left,1,0.385,,71.215,72.214,0,6,6,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-01-29_21h54.37.229,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,126464,,,,,72.215,73.114,0.9,73.115,77.114,right,1,0.468,,77.115,78.114,0,7,7,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-01-29_21h54.37.229,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,126464,,,,,78.115,78.915,0.8,78.915,82.914,right,1,0.691,,82.916,83.915,0,8,8,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-01-29_21h54.37.229,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,126464,,,,,83.915,85.415,1.5,85.415,89.415,left,1,0.502,,89.416,90.415,0,9,9,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-01-29_21h54.37.229,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,126464,,,,,90.416,90.864,0.45,90.865,94.865,left,1,0.584,,94.866,95.865,0,10,10,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-01-29_21h54.37.229,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,126464,,,,,95.866,97.315,1.45,97.316,101.315,left,1,1.054,,101.316,102.314,0,11,11,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
