location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
1,0.0007,19.7273,2026-02-06_12h20.22.730,ant_ver113,2025.2.3,Win32,59.88023952,126492,126492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-06_12h20.22.730,ant_ver113,2025.2.3,Win32,59.88023952,126492,126492,19.7276,73.2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-06_12h20.22.730,ant_ver113,2025.2.3,Win32,59.88023952,126492,126492,,,73.2316,88.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-06_12h20.22.730,ant_ver113,2025.2.3,Win32,59.88023952,126492,126492,,,,,88.6816,89.22,0.55,89.2208,93.212,,0,93.2122,94.202,0,0,0,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-06_12h20.22.730,ant_ver113,2025.2.3,Win32,59.88023952,126492,126492,,,,,94.2026,94.5984,0.4,94.5991,98.5865,left,1,98.5877,99.595,0,1,1,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,0.8172,,,,,,,,,,,,,,,,,,
1,,,2026-02-06_12h20.22.730,ant_ver113,2025.2.3,Win32,59.88023952,126492,126492,,,,,99.5954,100.3276,0.75,100.3282,104.3294,right,1,104.3302,105.3192,0,2,2,18,1,stim/blank.png,stim/congRight.png,-1,right,0,0.7269,,,,,,,,,,,,,,,,,,
1,,,2026-02-06_12h20.22.730,ant_ver113,2025.2.3,Win32,59.88023952,126492,126492,,,,,105.3196,106.2112,0.9,106.2118,110.2127,left,1,110.2142,111.2134,0,3,3,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,0.4588,,,,,,,,,,,,,,,,,,
1,,,2026-02-06_12h20.22.730,ant_ver113,2025.2.3,Win32,59.88023952,126492,126492,,,,,111.2137,112.448,1.25,112.4487,116.4379,right,0,116.4384,117.4519,0,4,4,5,1,stim/both.png,stim/congLeft.png,-1,left,0,0.3403,,,,,,,,,,,,,,,,,,
1,,,2026-02-06_12h20.22.730,ant_ver113,2025.2.3,Win32,59.88023952,126492,126492,,,,,117.4523,118.7407,1.3,118.7412,122.7432,left,1,122.7438,123.7277,0,5,5,6,1,stim/blank.png,stim/congLeft.png,1,left,0,0.4941,,,,,,,,,,,,,,,,,,
1,,,2026-02-06_12h20.22.730,ant_ver113,2025.2.3,Win32,59.88023952,126492,126492,,,,,123.7281,124.4648,0.75,124.4653,128.4572,left,1,128.4577,129.4514,0,6,6,4,1,stim/centre.png,stim/congLeft.png,1,left,0,0.431,,,,,,,,,,,,,,,,,,
