location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,resp.rt,resp.duration,End.started,End.stopped
1,0.001,13.512,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,13.512,27.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,27.104,38.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,38.234,38.679,0.45,38.68,42.676,,0,42.676,43.676,0,0,0,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,43.676,44.424,0.75,44.425,48.422,,0,48.422,49.422,0,1,1,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,49.422,50.921,1.5,50.922,54.919,,0,54.919,55.917,0,2,2,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,55.918,56.367,0.45,56.368,60.365,,0,60.365,61.364,0,3,3,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,61.364,62.163,0.8,62.164,66.16,,0,66.16,67.16,0,4,4,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,67.16,67.858,0.7,67.859,71.856,,0,71.856,72.856,0,5,5,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,72.856,74.155,1.3,74.155,78.153,,0,78.153,79.152,0,6,6,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,,,,,
