location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
3,0.0002,14.0793,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,14.0793,24.1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,24.196,35.7292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,35.7406,36.3792,0.65,36.3798,40.3791,,0,40.3793,41.3792,0,0,0,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,41.3795,42.4291,1.05,42.4293,46.4291,left,1,46.4296,47.429,0,1,1,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,1.2211,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,47.4292,48.0788,0.65,48.0791,52.0789,right,1,52.0793,53.079,0,2,2,13,1,stim/both.png,stim/congRight.png,-1,right,0,0.9501,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,53.0793,53.9783,0.9,53.9785,57.9791,,0,57.9795,58.9788,0,3,3,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,58.9789,60.1789,1.2,60.1794,64.1783,left,1,64.1788,65.1783,0,4,4,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,0.833,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,65.1786,65.979,0.8,65.9793,69.9787,left,1,69.9792,70.978,0,5,5,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,0.9137,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,70.9781,71.479,0.5,71.4794,75.479,left,1,75.4797,76.478,0,6,6,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,0.9327,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,76.4782,76.9791,0.5,76.9794,80.9789,left,1,80.9793,81.9789,0,7,7,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,0.5724,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,81.9792,83.029,1.05,83.0294,87.0288,right,1,87.0294,88.029,0,8,8,23,1,stim/both.png,stim/neutralRight.png,1,right,0,0.7669,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,88.0292,88.6289,0.6,88.6294,92.6288,left,1,92.6292,93.6288,0,9,9,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,0.7311,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,93.6291,94.7292,1.1,94.7298,98.7289,,0,98.7293,99.7288,0,10,10,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,99.729,101.2789,1.55,101.2793,105.2782,left,1,105.2788,106.2788,0,11,11,1,1,stim/both.png,stim/incongLeft.png,1,left,0,0.7235,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,106.2792,106.7292,0.45,106.7298,110.7292,right,1,110.7299,111.729,0,12,12,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,1.1936,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,111.7293,112.8789,1.15,112.8791,116.8786,left,1,116.8793,117.8787,0,13,13,5,1,stim/both.png,stim/congLeft.png,-1,left,0,0.8183,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,117.8791,118.6282,0.75,118.6287,122.6291,left,1,122.6299,123.6291,0,14,14,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,1.6486,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,123.6295,125.079,1.45,125.0795,129.0788,right,1,129.0794,130.0788,0,15,15,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,1.0012,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,130.0791,131.1792,1.1,131.1798,135.1787,right,1,135.1792,136.1791,0,16,16,18,1,stim/blank.png,stim/congRight.png,-1,right,0,0.7193,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,136.1796,137.6283,1.45,137.6287,141.6289,right,1,141.6293,142.6292,0,17,17,2,1,stim/centre.png,stim/congRight.png,1,right,0,0.5828,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,142.6296,143.3787,0.75,143.3792,147.3788,right,1,147.3793,148.3788,0,18,18,3,1,stim/both.png,stim/incongRight.png,-1,right,0,0.706,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,148.3792,148.8787,0.5,148.879,152.879,left,1,152.8797,153.8781,0,19,19,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.7015,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,153.8782,155.029,1.15,155.0296,159.0288,left,1,159.0292,160.0287,0,20,20,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,0.8132,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,160.0291,160.9288,0.9,160.9292,164.9288,right,1,164.9292,165.9291,0,21,21,0,1,stim/centre.png,stim/congRight.png,-1,right,0,0.5818,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,165.9295,166.729,0.8,166.7295,170.7291,left,1,170.7298,171.729,0,22,22,4,1,stim/centre.png,stim/congLeft.png,1,left,0,0.713,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,171.7294,172.629,0.9,172.6296,176.6287,left,1,176.6292,177.6289,0,23,23,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,0.6535,,,,,,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,,,,,,,,,,,,,,,,,,,,,,177.6293,188.0957,space,0.4326,,,,,,
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,188.1034,188.7453,0.65,188.7456,192.7453,left,1,,,,,,,,stim/blank.png,stim/neutralLeft.png,1,left,0,0.5148,,,,,,,0,0,0,42,1
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,192.7457,194.2456,1.5,194.2462,198.2453,left,1,,,,,,,,stim/centre.png,stim/neutralLeft.png,1,left,0,0.5829,,,,,,,0,1,1,22,1
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,198.2456,199.6956,1.45,199.6962,203.6957,left,1,,,,,,,,stim/centre.png,stim/congLeft.png,1,left,0,0.395,,,,,,,0,2,2,4,1
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,203.696,204.5456,0.85,204.5462,208.5452,right,1,,,,,,,,stim/blank.png,stim/incongRight.png,-1,right,0,0.5666,,,,,,,0,3,3,7,1
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,208.5456,209.4453,0.9,209.4457,213.4454,right,1,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,0.4261,,,,,,,0,4,4,0,1
3,,,2026-02-08_01h40.45.644,ant_ver113,2025.2.3,MacIntel,60.60606061,128406,128406,,,,,213.4458,214.7452,1.3,214.7457,218.7453,left,1,,,,,,,,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.6798,,,,,,,0,5,5,14,1
