location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order
1,0.0004,12.982,2026-02-26_17h31.05.789,ant_ver113,2025.2.3,MacIntel,63.69426752,128949,128949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-26_17h31.05.789,ant_ver113,2025.2.3,MacIntel,63.69426752,128949,128949,12.9822,39.2996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-26_17h31.05.789,ant_ver113,2025.2.3,MacIntel,63.69426752,128949,128949,,,39.3,72.8172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-26_17h31.05.789,ant_ver113,2025.2.3,MacIntel,63.69426752,128949,128949,,,,,72.8302,73.5338,0.7,73.5357,77.5325,,0,77.5327,78.5341,0,0,0,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-26_17h31.05.789,ant_ver113,2025.2.3,MacIntel,63.69426752,128949,128949,,,,,78.5351,80.0835,1.55,80.0841,84.0834,left,1,84.0854,85.0839,0,1,1,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,1.1049,,,,,,,,,,,,,,,,,,
1,,,2026-02-26_17h31.05.789,ant_ver113,2025.2.3,MacIntel,63.69426752,128949,128949,,,,,85.0848,85.4841,0.4,85.4846,89.4839,left,1,89.4853,90.484,0,2,2,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,0.7345,,,,,,,,,,,,,,,,,,
1,,,2026-02-26_17h31.05.789,ant_ver113,2025.2.3,MacIntel,63.69426752,128949,128949,,,,,90.4851,91.533,1.05,91.5338,95.5335,right,1,95.5342,96.5339,0,3,3,13,1,stim/both.png,stim/congRight.png,-1,right,0,0.6847,,,,,,,,,,,,,,,,,,
1,,,2026-02-26_17h31.05.789,ant_ver113,2025.2.3,MacIntel,63.69426752,128949,128949,,,,,96.5344,97.0841,0.55,97.085,101.0834,left,1,101.0851,102.0842,0,4,4,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.7049,,,,,,,,,,,,,,,,,,
1,,,2026-02-26_17h31.05.789,ant_ver113,2025.2.3,MacIntel,63.69426752,128949,128949,,,,,102.0854,103.0843,1,103.0853,107.0843,left,1,107.0855,108.0842,0,5,5,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,1.1182,,,,,,,,,,,,,,,,,,
1,,,2026-02-26_17h31.05.789,ant_ver113,2025.2.3,MacIntel,63.69426752,128949,128949,,,,,108.0846,109.4342,1.35,109.4349,113.4336,left,1,113.4353,114.4345,0,6,6,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,0.7097,,,,,,,,,,,,,,,,,,
1,,,2026-02-26_17h31.05.789,ant_ver113,2025.2.3,MacIntel,63.69426752,128949,128949,,,,,114.4348,114.9847,0.55,114.9857,118.9845,left,1,118.9855,119.9848,0,7,7,1,1,stim/both.png,stim/incongLeft.png,1,left,0,0.6049,,,,,,,,,,,,,,,,,,
1,,,2026-02-26_17h31.05.789,ant_ver113,2025.2.3,MacIntel,63.69426752,128949,128949,,,,,119.9856,121.0847,1.1,121.0857,125.0846,left,1,125.0856,126.085,0,8,8,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,0.5588,,,,,,,,,,,,,,,,,,
1,,,2026-02-26_17h31.05.789,ant_ver113,2025.2.3,MacIntel,63.69426752,128949,128949,,,,,126.0858,126.7349,0.65,126.7359,130.7351,right,1,130.736,131.7351,0,9,9,23,1,stim/both.png,stim/neutralRight.png,1,right,0,0.5668,,,,,,,,,,,,,,,,,,
1,,,2026-02-26_17h31.05.789,ant_ver113,2025.2.3,MacIntel,63.69426752,128949,128949,,,,,131.7358,132.1838,0.45,132.1843,136.1849,left,1,136.1855,137.185,0,10,10,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,0.7028,,,,,,,,,,,,,,,,,,
