location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,pracLoop.order
1,0.0001,13.3427,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,13.3431,35.7759,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,35.7761,47.2092,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,47.228,48.1756,0.95,48.1766,52.1758,right,0,1.0977,,52.1761,53.1756,0,0,0,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,53.1764,54.3087,1.15,54.3095,58.3086,right,1,0.9971,,58.3097,59.3087,0,1,1,13,1,stim/both.png,stim/congRight.png,-1,right,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,59.3093,59.8087,0.5,59.8095,63.8086,,0,,,63.8095,64.8086,0,2,2,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,64.809,65.642,0.85,65.6426,69.6419,left,1,1.0422,,69.643,70.642,0,3,3,5,1,stim/both.png,stim/congLeft.png,-1,left,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,70.6425,71.2752,0.65,71.2759,75.2752,,0,,,75.2761,76.2757,0,4,4,3,1,stim/both.png,stim/incongRight.png,-1,right,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,76.2761,76.7753,0.5,76.7759,80.7752,right,0,1.2557,,80.7753,81.7753,0,5,5,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,81.7758,82.4085,0.65,82.4092,86.4084,right,1,1.0438,,86.4095,87.4084,0,6,6,0,1,stim/centre.png,stim/congRight.png,-1,right,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,87.409,87.8086,0.4,87.8091,91.8084,left,1,1.2321,,91.8093,92.8085,0,7,7,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,92.8089,93.4417,0.65,93.4424,97.4417,right,1,1.0438,,97.4426,98.4419,0,8,8,18,1,stim/blank.png,stim/congRight.png,-1,right,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,98.4423,99.4417,1,99.4424,103.4418,left,1,0.8408,,103.4429,104.4418,0,9,9,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,104.4423,105.9752,1.55,105.9758,109.9748,left,1,1.0519,,109.9754,110.975,0,10,10,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,110.9755,111.4749,0.5,111.4756,115.4749,right,1,0.902,,115.4758,116.475,0,11,11,23,1,stim/both.png,stim/neutralRight.png,1,right,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,116.4755,117.5751,1.1,117.5758,121.575,right,0,1.3839,,121.576,122.575,0,12,12,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,122.5754,124.0083,1.45,124.009,128.0079,left,1,0.9461,,128.0083,129.0082,0,13,13,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,129.0087,130.5083,1.5,130.509,134.5082,,0,,,134.5091,135.5082,0,14,14,11,1,stim/upper.png,stim/incongRight.png,1,right,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,135.5087,136.8415,1.35,136.8422,140.8416,left,1,0.1663,,140.8424,141.8414,0,15,15,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,141.8419,143.1748,1.35,143.1754,147.1746,left,1,0.7695,,147.1751,148.1749,0,16,16,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,148.1753,149.5071,1.35,149.5078,153.5072,left,0,0.7438,,153.5079,154.5081,0,17,17,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,
1,,,2026-02-12_11h24.40.440,ant_ver113,2025.2.3,MacIntel,30.03003003,129188,129188,,,,,154.5086,155.8415,1.35,155.8422,,,,,,,,0,18,18,6,1,stim/blank.png,stim/congLeft.png,1,left,0,23
