location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.order
1,0.0002,14.1015,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,14.1017,33.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,,,33.4191,47.6694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,,,,,47.6948,48.4363,0.75,48.4374,52.4363,,0,52.4368,53.4362,0,0,0,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,,,,,53.4368,54.486,1.05,54.4866,58.4862,left,1,58.4875,59.4863,0,1,1,5,1,stim/both.png,stim/congLeft.png,-1,left,0,0.7326,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,,,,,59.487,60.7363,1.25,60.7373,64.7365,right,1,64.7376,65.7364,0,2,2,13,1,stim/both.png,stim/congRight.png,-1,right,0,0.605,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,,,,,65.737,66.4365,0.7,66.4374,70.4366,,0,70.4377,71.4366,0,3,3,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,,,,,71.4374,72.1367,0.7,72.1375,76.1368,,0,76.1369,77.1371,0,4,4,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,,,,,77.1376,77.537,0.4,77.5377,81.537,,0,81.5372,82.5371,0,5,5,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,,,,,82.5378,83.9871,1.45,83.9879,87.9874,right,1,87.9883,88.9873,0,6,6,0,1,stim/centre.png,stim/congRight.png,-1,right,0,0.7488,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,,,,,88.988,89.9873,1,89.9879,93.9873,,0,93.9883,94.9875,0,7,7,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,,,,,94.988,96.3876,1.4,96.3883,100.3878,left,0,100.3879,101.3878,0,8,8,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,1.0187,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,,,,,101.3883,101.9877,0.6,101.9885,105.9879,,0,105.988,106.9879,0,9,9,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,,,,,106.9888,108.0878,1.1,108.0886,112.0881,right,1,112.089,113.088,0,10,10,18,1,stim/blank.png,stim/congRight.png,-1,right,0,1.6002,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,,,,,113.0885,113.6879,0.6,113.6884,117.6883,left,1,117.6892,118.6882,0,11,11,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,1.1819,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,,,,,118.6888,119.8879,1.2,119.8882,123.8885,left,1,123.8892,124.8884,0,12,12,4,1,stim/centre.png,stim/congLeft.png,1,left,0,1.4487,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_15h20.10.392,ant_ver113,2025.2.3,MacIntel,59.88023952,129213,129213,,,,,124.8887,125.7385,0.85,125.7392,129.7387,,0,129.7395,130.7387,0,13,13,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
