location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.order
1,0,39.921,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,39.921,69.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,69.429,121.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,121.07,122.563,1.5,122.565,126.563,left,1,0.95,,126.564,127.563,0,0,0,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,127.564,128.164,0.6,128.165,132.163,left,1,0.881,,132.165,133.163,0,1,1,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,133.164,133.562,0.4,133.563,137.563,left,1,0.599,,137.565,138.562,0,2,2,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,138.562,139.812,1.25,139.812,143.812,left,1,0.501,,143.813,144.811,0,3,3,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,144.812,146.112,1.3,146.113,150.111,left,1,0.597,,150.112,151.111,0,4,4,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,151.112,152.461,1.35,152.462,156.461,right,1,0.649,,156.462,157.461,0,5,5,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,157.461,158.811,1.35,158.812,162.811,left,1,0.531,,162.812,163.81,0,6,6,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,163.811,164.46,0.65,164.461,168.46,right,1,0.482,,168.462,169.46,0,7,7,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,169.46,170.71,1.25,170.71,174.709,right,1,0.432,,174.71,175.709,0,8,8,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,175.711,176.609,0.9,176.61,180.609,left,1,0.365,,180.613,181.609,0,9,9,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,181.61,182.959,1.35,182.96,186.959,right,1,0.498,,186.96,187.958,0,10,10,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,187.959,188.558,0.6,188.559,192.558,right,1,0.431,,192.559,193.565,0,11,11,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,193.566,194.608,1.05,194.609,198.608,left,0,0.581,,198.609,199.608,0,12,12,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,199.608,201.058,1.45,201.058,205.058,left,1,0.531,,205.06,206.057,0,13,13,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,206.058,206.658,0.6,206.659,210.657,left,1,0.482,,210.659,211.657,0,14,14,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,211.658,213.207,1.55,213.208,217.206,left,1,0.58,,217.207,218.206,0,15,15,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,218.207,219.356,1.15,219.357,223.356,left,1,0.515,,223.357,224.356,0,16,16,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,224.357,225.206,0.85,225.207,229.205,left,1,0.499,,229.206,230.205,0,17,17,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,230.206,231.455,1.25,231.456,235.455,right,1,0.549,,235.456,236.455,0,18,18,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,236.455,236.955,0.5,236.956,240.955,left,1,0.515,,240.956,241.954,0,19,19,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,241.955,242.754,0.8,242.755,246.754,right,1,0.43,,246.755,247.754,0,20,20,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,247.755,249.104,1.35,249.105,253.103,left,1,0.515,,253.105,254.103,0,21,21,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,254.104,255.644,1.55,255.644,259.636,right,1,0.448,,259.637,260.636,0,22,22,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,260.637,261.687,1.05,261.687,265.686,left,1,0.447,,265.687,266.686,0,23,23,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,,,,,,,,,,,,,,,,,,,,,,266.692,395.804,space,119.087,,,,,,,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,395.822,397.176,1.35,397.177,401.177,left,1,0.496,,,,,,,,,stim/both.png,stim/congLeft.png,1,left,0,,,,,,0,0,0,34,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,401.178,401.676,0.5,401.676,405.676,left,1,0.564,,,,,,,,,stim/both.png,stim/incongLeft.png,-1,left,0,,,,,,0,1,1,37,1,,,,,,,,,
