location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.order
1,0.0001,11.5798,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,11.5801,29.6129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,29.6131,41.6796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,41.7008,42.8464,1.15,42.8473,46.8463,,0,46.8466,47.8461,0,0,0,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,47.8467,48.246,0.4,48.2468,52.246,left,1,52.2469,53.2451,0,1,1,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,0.8771,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,53.2455,54.5962,1.35,54.5969,58.5961,right,1,58.5971,59.596,0,2,2,11,1,stim/upper.png,stim/incongRight.png,1,right,0,0.7907,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,59.5964,60.4457,0.85,60.4464,64.4457,left,1,64.4462,65.4459,0,3,3,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,0.7517,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,65.4462,66.6959,1.25,66.6964,70.6961,right,1,70.697,71.6961,0,4,4,2,1,stim/centre.png,stim/congRight.png,1,right,0,0.6056,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,71.6965,72.4459,0.75,72.4465,76.4459,right,1,76.4464,77.4459,0,5,5,13,1,stim/both.png,stim/congRight.png,-1,right,0,0.5073,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,77.4462,78.646,1.2,78.6466,82.646,left,1,82.6467,83.645,0,6,6,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.4984,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,83.6453,84.5958,0.95,84.5963,88.595,left,1,88.5954,89.5961,0,7,7,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,0.4652,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,89.5964,89.996,0.4,89.9966,93.9961,right,0,93.997,94.9951,0,8,8,1,1,stim/both.png,stim/incongLeft.png,1,left,0,0.5245,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,94.9955,96.3962,1.4,96.3965,100.3959,left,1,100.3968,101.3961,0,9,9,4,1,stim/centre.png,stim/congLeft.png,1,left,0,0.9154,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,101.3966,101.7959,0.4,101.7964,105.796,right,1,105.7966,106.795,0,10,10,18,1,stim/blank.png,stim/congRight.png,-1,right,0,0.8734,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,106.7954,108.0461,1.25,108.0465,112.0454,left,0,112.046,113.046,0,11,11,3,1,stim/both.png,stim/incongRight.png,-1,right,0,0.4345,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,113.0466,113.8949,0.85,113.8954,117.8948,left,1,117.8952,118.896,0,12,12,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,0.7245,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,118.8964,119.8459,0.95,119.8464,123.8458,left,1,123.8465,124.8458,0,13,13,6,1,stim/blank.png,stim/congLeft.png,1,left,0,1.2674,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,124.8461,126.0458,1.2,126.0464,130.0461,left,1,130.0471,131.0459,0,14,14,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,1.0233,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,131.0466,132.0958,1.05,132.0964,136.0958,left,0,136.0963,137.096,0,15,15,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,0.482,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,137.0963,137.5458,0.45,137.5462,141.5458,left,1,141.5463,142.5457,0,16,16,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,0.4546,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,142.546,143.3458,0.8,143.3463,147.3458,left,1,147.3464,148.3452,0,17,17,5,1,stim/both.png,stim/congLeft.png,-1,left,0,0.4591,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,148.3455,149.596,1.25,149.5964,153.5953,left,1,153.596,154.595,0,18,18,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,1.5798,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,154.5954,155.446,0.85,155.4464,159.4461,right,1,159.4467,160.446,0,19,19,23,1,stim/both.png,stim/neutralRight.png,1,right,0,0.4384,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,160.4463,161.346,0.9,161.3464,165.346,left,0,165.3468,166.3456,0,20,20,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,0.4235,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,166.3459,167.0957,0.75,167.0961,171.0959,right,1,171.0964,172.0959,0,21,21,0,1,stim/centre.png,stim/congRight.png,-1,right,0,1.0739,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,172.0962,172.6457,0.55,172.6461,176.645,left,1,176.6459,177.6458,0,22,22,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,1.2227,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,177.6463,178.7956,1.15,178.7961,182.7957,left,1,182.7965,183.7959,0,23,23,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,0.5478,,,,,,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,,,,,,,,,,,,,,,,,,,,,,183.7962,197.4586,space,3.6503,,,,,,,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,197.4708,198.4167,0.95,198.4171,202.4164,right,1,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,0.4364,,,,,,,0,0,0,0,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,202.4169,203.9165,1.5,203.9174,207.9167,left,1,,,,,,,,stim/blank.png,stim/neutralLeft.png,-1,left,0,0.482,,,,,,,0,1,1,32,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,207.917,209.2164,1.3,209.2169,213.2163,right,1,,,,,,,,stim/lower.png,stim/incongRight.png,-1,right,0,0.5323,,,,,,,0,2,2,19,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,213.2165,214.3164,1.1,214.3168,218.3164,left,1,,,,,,,,stim/both.png,stim/neutralLeft.png,-1,left,0,0.4592,,,,,,,0,3,3,17,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,218.3168,219.4665,1.15,219.4672,223.4666,left,1,,,,,,,,stim/upper.png,stim/congLeft.png,1,left,0,0.432,,,,,,,0,4,4,24,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,223.467,224.8665,1.4,224.8671,228.8663,right,1,,,,,,,,stim/blank.png,stim/neutralRight.png,-1,right,0,0.6315,,,,,,,0,5,5,36,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,228.8667,230.2666,1.4,230.2674,234.2657,left,1,,,,,,,,stim/blank.png,stim/neutralLeft.png,1,left,0,0.4618,,,,,,,0,6,6,42,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,234.2661,234.9166,0.65,234.9174,238.9166,right,1,,,,,,,,stim/centre.png,stim/incongRight.png,-1,right,0,0.5244,,,,,,,0,7,7,25,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,238.9169,239.8162,0.9,239.8166,243.8163,left,1,,,,,,,,stim/lower.png,stim/congLeft.png,-1,left,0,0.4743,,,,,,,0,8,8,12,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,243.8166,244.7664,0.95,244.767,248.7662,right,0,,,,,,,,stim/both.png,stim/incongLeft.png,1,left,0,0.4418,,,,,,,0,9,9,1,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,248.7665,250.1658,1.4,250.1663,254.1663,right,1,,,,,,,,stim/lower.png,stim/neutralRight.png,-1,right,0,0.4825,,,,,,,0,10,10,28,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,254.1667,255.2661,1.1,255.2671,259.2665,left,1,,,,,,,,stim/both.png,stim/incongLeft.png,-1,left,0,0.5956,,,,,,,0,11,11,37,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,259.2668,260.6164,1.35,260.6168,264.6163,right,1,,,,,,,,stim/upper.png,stim/congRight.png,1,right,0,0.7259,,,,,,,0,12,12,30,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,264.6166,265.8666,1.25,265.8674,269.8664,right,1,,,,,,,,stim/both.png,stim/neutralRight.png,1,right,0,0.4851,,,,,,,0,13,13,23,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,269.8669,270.2663,0.4,270.2666,274.2664,right,1,,,,,,,,stim/both.png,stim/neutralRight.png,-1,right,0,0.4574,,,,,,,0,14,14,41,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,274.2668,275.5164,1.25,275.5168,279.5163,right,1,,,,,,,,stim/upper.png,stim/neutralRight.png,1,right,0,0.3748,,,,,,,0,15,15,27,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,279.5169,280.5168,1,280.5176,284.5164,right,1,,,,,,,,stim/centre.png,stim/neutralRight.png,1,right,0,0.4505,,,,,,,0,16,16,29,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,284.5168,285.8163,1.3,285.8168,289.8163,left,1,,,,,,,,stim/both.png,stim/neutralLeft.png,1,left,0,0.4684,,,,,,,0,17,17,31,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,289.8166,290.8165,1,290.8174,294.8165,right,1,,,,,,,,stim/centre.png,stim/incongRight.png,1,right,0,0.5225,,,,,,,0,18,18,26,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,294.8168,296.0665,1.25,296.0673,300.0656,left,1,,,,,,,,stim/upper.png,stim/neutralLeft.png,1,left,0,0.4071,,,,,,,0,19,19,8,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,300.066,301.4163,1.35,301.4167,305.4163,left,1,,,,,,,,stim/both.png,stim/congLeft.png,1,left,0,0.4152,,,,,,,0,20,20,34,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,305.4165,305.9663,0.55,305.9667,309.9664,left,1,,,,,,,,stim/centre.png,stim/congLeft.png,1,left,0,0.4174,,,,,,,0,21,21,4,1,,,,,,,
