location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
1,1E-04,11.6227,2026-02-27_10h03.44.124,ant_ver113,2025.2.3,MacIntel,59.88023952,130291,130291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_10h03.44.124,ant_ver113,2025.2.3,MacIntel,59.88023952,130291,130291,11.6228,23.7561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_10h03.44.124,ant_ver113,2025.2.3,MacIntel,59.88023952,130291,130291,,,23.7563,51.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_10h03.44.124,ant_ver113,2025.2.3,MacIntel,59.88023952,130291,130291,,,,,51.9838,52.5729,0.6,52.5731,56.5729,right,1,0.8049,,56.573,57.573,0,0,0,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_10h03.44.124,ant_ver113,2025.2.3,MacIntel,59.88023952,130291,130291,,,,,57.5734,58.5727,1,58.5729,62.5729,,0,,,62.5732,63.573,0,1,1,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_10h03.44.124,ant_ver113,2025.2.3,MacIntel,59.88023952,130291,130291,,,,,63.5736,64.623,1.05,64.6232,68.6229,left,1,0.7021,,68.6232,69.6229,0,2,2,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_10h03.44.124,ant_ver113,2025.2.3,MacIntel,59.88023952,130291,130291,,,,,69.623,70.0729,0.45,70.0731,74.0729,left,1,0.9506,,74.0732,75.0729,0,3,3,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_10h03.44.124,ant_ver113,2025.2.3,MacIntel,59.88023952,130291,130291,,,,,75.0731,75.8229,0.75,75.8233,79.8229,left,1,0.6192,,79.8232,80.8229,0,4,4,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_10h03.44.124,ant_ver113,2025.2.3,MacIntel,59.88023952,130291,130291,,,,,80.823,81.473,0.65,81.4733,85.4729,left,0,1.4716,,85.4732,86.4719,0,5,5,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_10h03.44.124,ant_ver113,2025.2.3,MacIntel,59.88023952,130291,130291,,,,,86.472,87.5229,1.05,87.5231,91.5229,right,1,0.5823,,91.5232,92.523,0,6,6,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
