location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order
1,0.0001,15.6659,2026-03-02_16h30.27.096,ant_ver113,2025.2.3,MacIntel,58.13953488,130399,130399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h30.27.096,ant_ver113,2025.2.3,MacIntel,58.13953488,130399,130399,15.6661,38.5824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h30.27.096,ant_ver113,2025.2.3,MacIntel,58.13953488,130399,130399,,,38.5826,51.1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h30.27.096,ant_ver113,2025.2.3,MacIntel,58.13953488,130399,130399,,,,,51.1344,51.5821,0.45,51.5832,55.5822,left,1,0.5404,,55.5825,56.5821,0,0,0,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h30.27.096,ant_ver113,2025.2.3,MacIntel,58.13953488,130399,130399,,,,,56.583,58.1319,1.55,58.1328,62.132,right,1,0.5156,,62.133,63.132,0,1,1,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h30.27.096,ant_ver113,2025.2.3,MacIntel,58.13953488,130399,130399,,,,,63.1325,64.5819,1.45,64.5827,68.5819,left,0,0.5255,,68.5828,69.5819,0,2,2,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h30.27.096,ant_ver113,2025.2.3,MacIntel,58.13953488,130399,130399,,,,,69.5824,70.182,0.6,70.1826,74.1819,left,1,0.4701,,74.1828,75.1819,0,3,3,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h30.27.096,ant_ver113,2025.2.3,MacIntel,58.13953488,130399,130399,,,,,75.1824,75.8819,0.7,75.8826,79.8819,left,1,0.7512,,79.8828,80.882,0,4,4,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h30.27.096,ant_ver113,2025.2.3,MacIntel,58.13953488,130399,130399,,,,,80.8826,81.5819,0.7,81.5825,85.582,left,1,0.4321,,85.5829,86.5819,0,5,5,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h30.27.096,ant_ver113,2025.2.3,MacIntel,58.13953488,130399,130399,,,,,86.5823,87.3319,0.75,87.3328,91.332,left,1,0.5378,,91.333,92.3318,0,6,6,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
