location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
1,0,26.527,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,26.527,50.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,50.752,63.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,63.534,64.583,1.05,64.584,68.584,left,1,0.883,,68.585,69.584,0,0,0,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,69.585,70.034,0.45,70.035,74.036,right,1,0.691,,74.037,75.036,0,1,1,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,75.036,75.586,0.55,75.587,79.588,right,1,0.776,,79.589,80.588,0,2,2,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,80.589,82.139,1.55,82.139,86.14,right,1,0.632,,86.141,87.141,0,3,3,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,87.141,87.591,0.45,87.592,91.593,left,1,0.733,,91.594,92.593,0,4,4,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,92.594,93.293,0.7,93.294,97.295,left,1,0.685,,97.295,98.295,0,5,5,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,98.295,99.846,1.55,99.846,103.847,left,1,0.515,,103.848,104.847,0,6,6,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,104.848,105.298,0.45,105.298,109.299,left,1,0.633,,109.3,110.3,0,7,7,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,110.3,111.55,1.25,111.551,115.552,left,1,0.54,,115.553,116.552,0,8,8,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,116.553,117.602,1.05,117.603,121.604,right,1,0.5,,121.605,122.604,0,9,9,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,122.605,123.855,1.25,123.855,127.857,right,1,0.524,,127.857,128.857,0,10,10,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,128.857,129.257,0.4,129.257,133.258,left,1,0.566,,133.259,134.259,0,11,11,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,134.26,134.909,0.65,134.91,138.911,left,1,0.45,,138.911,139.911,0,12,12,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,139.912,140.511,0.6,140.512,144.513,left,1,0.444,,144.514,145.513,0,13,13,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,145.514,146.614,1.1,146.614,150.615,left,1,0.482,,150.616,151.616,0,14,14,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,151.616,152.466,0.85,152.467,156.468,right,1,0.466,,156.468,157.468,0,15,15,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,157.468,158.618,1.15,158.619,162.62,left,1,0.541,,162.621,163.62,0,16,16,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,163.621,164.821,1.2,164.821,168.822,left,1,0.469,,168.823,169.823,0,17,17,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,169.823,170.423,0.6,170.424,174.425,left,0,0.457,,174.426,175.425,0,18,18,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,175.426,175.975,0.55,175.976,179.976,right,1,0.541,,179.977,180.977,0,19,19,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,180.977,182.077,1.1,182.078,186.079,left,1,0.565,,186.08,187.079,0,20,20,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,187.08,188.58,1.5,188.581,192.581,left,1,0.542,,192.582,193.582,0,21,21,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,193.582,194.182,0.6,194.182,198.184,left,1,0.484,,198.184,199.184,0,22,22,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,199.184,200.534,1.35,200.535,204.536,right,1,0.533,,204.537,205.536,0,23,23,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,
