location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
2,0.0005,11.7417,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,11.742,24.7076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,24.7078,35.5408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,35.5581,36.7571,1.2,36.7582,40.7572,,0,40.7575,41.7571,0,0,0,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,41.758,42.9569,1.2,42.9576,46.957,,0,46.9571,47.9568,0,1,1,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,47.9575,48.8058,0.85,48.8066,52.8069,,0,52.8069,53.8059,0,2,2,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,53.8064,54.5068,0.7,54.5075,58.5068,,0,58.507,59.5068,0,3,3,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,59.5073,59.9068,0.4,59.9075,63.9058,left,1,63.9069,64.9068,0,4,4,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,1.4108,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,64.9073,65.6558,0.75,65.6565,69.6559,,0,69.6568,70.6568,0,5,5,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,70.6572,71.5567,0.9,71.5574,75.5567,,0,75.5569,76.5558,0,6,6,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,76.5562,77.5558,1,77.5565,81.5567,left,0,81.5568,82.5558,0,7,7,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,1.5486,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,82.5562,83.7558,1.2,83.7564,87.7566,left,0,87.7567,88.7567,0,8,8,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,1.4658,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,88.7572,89.7057,0.95,89.7064,93.7066,,0,93.7067,94.7066,0,9,9,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,94.7071,95.8567,1.15,95.8573,99.8567,left,1,99.8575,100.8566,0,10,10,6,1,stim/blank.png,stim/congLeft.png,1,left,0,1.1033,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,100.8572,101.2565,0.4,101.2574,105.2567,right,1,105.2576,106.2567,0,11,11,0,1,stim/centre.png,stim/congRight.png,-1,right,0,0.851,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,106.2572,107.3059,1.05,107.3066,111.3066,left,1,111.3076,112.3066,0,12,12,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,1.5992,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,112.3071,112.7566,0.45,112.7572,116.7565,right,0,116.7574,117.7566,0,13,13,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,1.1858,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,117.757,119.1057,1.35,119.1064,123.1065,right,0,123.1066,124.1066,0,14,14,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,1.1599,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,124.107,125.3566,1.25,125.3572,129.3565,,0,129.3566,130.3565,0,15,15,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,130.357,131.0564,0.7,131.0571,135.0565,left,1,135.0575,136.0565,0,16,16,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,0.8432,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,136.057,137.0057,0.95,137.0062,141.0067,,0,141.0073,142.0064,0,17,17,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,142.0069,142.8065,0.8,142.8071,146.8058,left,0,146.8058,147.8064,0,18,18,11,1,stim/upper.png,stim/incongRight.png,1,right,0,1.3431,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,147.8069,148.2064,0.4,148.2071,152.2064,left,1,152.2073,153.2065,0,19,19,5,1,stim/both.png,stim/congLeft.png,-1,left,0,1.3309,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,153.207,153.6564,0.45,153.6571,157.6563,left,0,157.6572,158.6564,0,20,20,3,1,stim/both.png,stim/incongRight.png,-1,right,0,0.9611,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,158.6569,159.7556,1.1,159.7562,163.7555,,0,163.7556,164.7556,0,21,21,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,164.7561,165.4556,0.7,165.4562,169.4565,right,1,169.4574,170.4564,0,22,22,18,1,stim/blank.png,stim/congRight.png,-1,right,0,1.0317,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,170.4569,171.4563,1,171.4571,175.4564,,0,175.4572,176.4564,0,23,23,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,,,,,,,,,,,,,,,,,,,,,,176.457,207.8732,space,21.3845,,,,,,,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,207.8834,209.223,1.35,209.2236,213.223,left,1,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,0.685,,,,,,,0,0,0,5,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,213.2237,214.4729,1.25,214.4735,218.4729,right,1,,,,,,,,stim/blank.png,stim/congRight.png,-1,right,0,0.6656,,,,,,,0,1,1,18,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,218.4734,219.473,1,219.4737,223.4728,right,1,,,,,,,,stim/both.png,stim/neutralRight.png,1,right,0,1.0444,,,,,,,0,2,2,23,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,223.4734,224.6229,1.15,224.6236,228.6229,right,1,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,0.5931,,,,,,,0,3,3,43,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,228.6234,229.9228,1.3,229.9236,233.9229,right,1,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,0.7056,,,,,,,0,4,4,0,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,233.9233,235.1728,1.25,235.1734,239.1728,left,1,,,,,,,,stim/lower.png,stim/congLeft.png,-1,left,0,0.6932,,,,,,,0,5,5,12,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,239.1733,240.1727,1,240.1735,244.1728,left,1,,,,,,,,stim/both.png,stim/neutralLeft.png,1,left,0,1.1604,,,,,,,0,6,6,31,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,244.1734,245.1728,1,245.1735,249.1728,left,1,,,,,,,,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.9167,,,,,,,0,7,7,14,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,249.1732,249.8727,0.7,249.8734,253.8719,right,0,,,,,,,,stim/centre.png,stim/incongLeft.png,1,left,0,1.0072,,,,,,,0,8,8,46,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,253.8724,254.2727,0.4,254.2734,258.2727,right,1,,,,,,,,stim/both.png,stim/neutralRight.png,-1,right,0,0.8604,,,,,,,0,9,9,41,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,258.2733,259.1728,0.9,259.1734,263.1728,right,1,,,,,,,,stim/centre.png,stim/neutralRight.png,1,right,0,0.7369,,,,,,,0,10,10,29,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,263.1733,264.2727,1.1,264.2734,268.2727,right,1,,,,,,,,stim/both.png,stim/congRight.png,1,right,0,0.7503,,,,,,,0,11,11,47,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,268.2732,269.4227,1.15,269.4233,273.4217,right,1,,,,,,,,stim/lower.png,stim/neutralRight.png,-1,right,0,0.7834,,,,,,,0,12,12,28,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,273.4223,274.4717,1.05,274.4724,278.4726,right,1,,,,,,,,stim/both.png,stim/incongRight.png,1,right,0,0.9153,,,,,,,0,13,13,44,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,278.4732,279.3726,0.9,279.3733,283.3718,left,0,,,,,,,,stim/blank.png,stim/incongRight.png,1,right,0,1.0447,,,,,,,0,14,14,40,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,283.3724,284.0226,0.65,284.0234,288.0227,right,1,,,,,,,,stim/blank.png,stim/neutralRight.png,1,right,0,0.7786,,,,,,,0,15,15,39,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,288.0231,288.8726,0.85,288.8732,292.8718,right,0,,,,,,,,stim/blank.png,stim/neutralLeft.png,-1,left,0,1.03,,,,,,,0,16,16,32,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,292.8723,293.9217,1.05,293.9223,297.9218,right,0,,,,,,,,stim/upper.png,stim/incongLeft.png,1,left,0,0.849,,,,,,,0,17,17,33,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,297.9222,299.3725,1.45,299.3732,303.3726,left,1,,,,,,,,stim/upper.png,stim/congLeft.png,1,left,0,0.6788,,,,,,,0,18,18,24,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,303.3731,304.8726,1.5,304.8733,308.8726,right,1,,,,,,,,stim/both.png,stim/congRight.png,-1,right,0,0.633,,,,,,,0,19,19,13,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,308.8731,309.7725,0.9,309.7731,313.7717,right,1,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,0.6992,,,,,,,0,20,20,45,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,313.7722,314.9226,1.15,314.9233,318.9225,right,1,,,,,,,,stim/centre.png,stim/neutralRight.png,-1,right,0,1.1436,,,,,,,0,21,21,35,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,318.923,320.1725,1.25,320.1731,324.1719,right,0,,,,,,,,stim/both.png,stim/incongLeft.png,1,left,0,1.1507,,,,,,,0,22,22,1,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,324.1725,325.6725,1.5,325.6732,329.6716,left,0,,,,,,,,stim/centre.png,stim/incongRight.png,-1,right,0,0.8674,,,,,,,0,23,23,25,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,329.6722,330.1716,0.5,330.1723,334.1725,left,1,,,,,,,,stim/lower.png,stim/neutralLeft.png,-1,left,0,0.8476,,,,,,,0,24,24,38,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,334.1729,335.4716,1.3,335.4722,339.4726,left,0,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,0.7929,,,,,,,0,25,25,3,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,339.4731,339.9216,0.45,339.9223,343.9216,left,1,,,,,,,,stim/centre.png,stim/congLeft.png,1,left,0,0.6978,,,,,,,0,26,26,4,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,343.9221,345.4724,1.55,345.473,349.4717,left,1,,,,,,,,stim/both.png,stim/neutralLeft.png,-1,left,0,0.8645,,,,,,,0,27,27,17,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,349.4722,350.8719,1.4,350.8726,354.8716,left,1,,,,,,,,stim/blank.png,stim/congLeft.png,-1,left,0,0.6478,,,,,,,0,28,28,15,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,354.8722,355.6716,0.8,355.6723,359.6724,left,1,,,,,,,,stim/centre.png,stim/neutralLeft.png,1,left,0,0.7933,,,,,,,0,29,29,22,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,359.6729,361.2215,1.55,361.2221,365.2214,right,0,,,,,,,,stim/blank.png,stim/incongLeft.png,-1,left,0,0.9751,,,,,,,0,30,30,16,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,365.2218,366.0718,0.85,366.0726,370.0724,left,1,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,0.7028,,,,,,,0,31,31,9,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,370.073,370.9723,0.9,370.9731,374.9715,right,1,,,,,,,,stim/centre.png,stim/congRight.png,1,right,0,0.6332,,,,,,,0,32,32,2,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,374.972,375.5723,0.6,375.5729,379.5724,right,1,,,,,,,,stim/upper.png,stim/neutralRight.png,1,right,0,0.8322,,,,,,,0,33,33,27,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,379.5729,380.3223,0.75,380.3231,384.3223,right,0,,,,,,,,stim/both.png,stim/incongLeft.png,-1,left,0,0.9165,,,,,,,0,34,34,37,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,384.3228,385.3724,1.05,385.3731,389.3724,right,1,,,,,,,,stim/upper.png,stim/congRight.png,1,right,0,0.625,,,,,,,0,35,35,30,1,,,,,,,,,
2,,,2026-03-03_16h21.08.239,ant_ver113,2025.2.3,MacIntel,59.88023952,13271,13271,,,,,389.3728,390.6223,1.25,390.6229,394.6223,left,1,,,,,,,,stim/upper.png,stim/neutralLeft.png,1,left,0,0.7288,,,,,,,0,36,36,8,1,,,,,,,,,
