location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started
3,0.0002,12.4156,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,12.416,36.8664,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,36.8666,59.231,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,59.247,60.7986,1.55,60.7997,64.7979,left,1,1.0545,,64.7983,65.7985,0,0,0,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,65.7995,66.6982,0.9,66.6992,70.6974,left,0,0.5331,,70.6985,71.6983,0,1,1,3,1,stim/both.png,stim/incongRight.png,-1,right,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,71.699,73.1983,1.5,73.1993,77.1983,left,1,0.5325,,77.1993,78.1982,0,2,2,6,1,stim/blank.png,stim/congLeft.png,1,left,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,78.1988,78.9982,0.8,78.9993,82.9972,right,0,0.9019,,82.9982,83.9982,0,3,3,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,83.9987,84.3974,0.4,84.3983,88.3973,right,0,0.6351,,88.3975,89.3986,0,4,4,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,89.3992,89.9482,0.55,89.949,93.9476,left,1,0.9542,,93.9487,94.9482,0,5,5,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,94.9487,95.5982,0.65,95.5991,99.5982,left,1,0.6157,,99.5993,100.5981,0,6,6,4,1,stim/centre.png,stim/congLeft.png,1,left,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,100.5986,101.2983,0.7,101.299,105.2981,right,1,0.7025,,105.2993,106.2982,0,7,7,13,1,stim/both.png,stim/congRight.png,-1,right,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,106.2987,107.4474,1.15,107.4487,111.4482,left,0,1.1434,,111.4491,112.4481,0,8,8,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,112.4489,113.7482,1.3,113.749,117.748,left,1,1.3823,,117.7491,118.7481,0,9,9,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,118.7488,119.3981,0.65,119.3989,123.3972,left,0,1.2827,,123.398,124.3981,0,10,10,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,124.3987,125.4481,1.05,125.4489,129.448,left,1,0.8057,,129.4492,130.4472,0,11,11,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,130.4477,131.3981,0.95,131.3989,135.398,right,0,1.1162,,135.3988,136.3972,0,12,12,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,136.3976,137.6481,1.25,137.6489,141.6472,left,1,1.4232,,141.6481,142.6481,0,13,13,1,1,stim/both.png,stim/incongLeft.png,1,left,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,142.6487,143.0481,0.4,143.0488,147.0481,right,1,0.8995,,147.0491,148.0481,0,14,14,2,1,stim/centre.png,stim/congRight.png,1,right,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,148.0486,149.248,1.2,149.2488,153.248,right,1,0.9866,,153.2489,154.2481,0,15,15,0,1,stim/centre.png,stim/congRight.png,-1,right,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,154.2487,155.3479,1.1,155.3486,159.3479,left,1,0.4998,,159.3488,160.3472,0,16,16,5,1,stim/both.png,stim/congLeft.png,-1,left,0,
3,,,2026-02-20_11h06.55.164,ant_ver113,2025.2.3,MacIntel,59.88023952,3745,3745,,,,,160.3477,161.548,1.2,161.5488,165.5481,left,1,0.8195,,165.549,166.5472,0,17,17,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,
