location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,resp.rt,resp.duration,blockLoop.order,mainLoop.order
3,0.0004,12.4708,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,12.4715,56.0292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,56.0294,85.3503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,85.3784,86.2774,0.9,86.279,90.2798,,0,90.2803,91.2745,0,0,0,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,91.276,92.4237,1.15,92.4258,96.4282,,0,96.4283,97.4251,0,1,1,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,97.426,97.8273,0.4,97.8285,101.8269,,0,101.827,102.8204,0,2,2,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,102.8218,103.4752,0.65,103.4766,107.4681,,0,107.4684,108.4676,0,3,3,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,108.4694,109.2726,0.8,109.2746,113.2662,,0,113.2669,114.2648,0,4,4,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,114.2658,115.5207,1.25,115.5223,119.5193,,0,119.5196,120.5189,0,5,5,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,120.5196,121.0633,0.55,121.0648,125.0674,,0,125.0676,126.0616,0,6,6,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,126.0637,126.6665,0.6,126.6678,130.6654,,0,130.6655,131.6651,0,7,7,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,131.6662,132.8588,1.2,132.8611,136.8572,,0,136.8575,137.8625,0,8,8,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
