PreExperiment.started,PreExperiment.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
0,14.853,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,14.853,30.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,30.535,41.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,41.522,42.518,1,42.52,46.518,left,1,0.67,,46.519,47.517,0,0,0,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,47.519,48.068,0.55,48.07,52.068,right,1,1.226,,52.07,53.068,0,1,1,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,53.069,53.668,0.6,53.67,57.667,,0,,,57.668,58.668,0,2,2,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,58.67,59.068,0.4,59.069,63.068,,0,,,63.068,64.071,0,3,3,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,64.076,64.777,0.7,64.779,68.777,,0,,,68.777,69.776,0,4,4,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,69.778,71.076,1.3,71.077,75.076,,0,,,75.077,76.076,0,5,5,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,76.077,76.676,0.6,76.678,80.677,,0,,,80.677,81.676,0,6,6,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,81.677,82.976,1.3,82.977,86.976,,0,,,86.976,87.976,0,7,7,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,87.977,89.276,1.3,89.277,93.276,,0,,,93.276,94.276,0,8,8,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,94.277,95.026,0.75,95.028,99.026,,0,,,99.027,100.027,0,9,9,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,100.031,100.476,0.45,100.477,104.476,,0,,,104.476,105.476,0,10,10,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,105.477,106.526,1.05,106.527,110.526,,0,,,110.526,111.526,0,11,11,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,111.527,112.826,1.3,112.827,116.826,,0,,,116.826,117.826,0,12,12,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,117.827,118.477,0.65,118.478,122.476,,0,,,122.476,123.476,0,13,13,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,123.477,124.725,1.25,124.726,128.726,,0,,,128.726,129.726,0,14,14,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,129.726,130.577,0.85,130.58,134.576,,0,,,134.576,135.576,0,15,15,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,135.578,136.326,0.75,136.326,140.326,,0,,,140.326,141.326,0,16,16,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,141.327,141.976,0.65,141.976,145.976,,0,,,145.976,146.976,0,17,17,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,146.978,147.926,0.95,147.927,151.926,,0,,,151.926,152.926,0,18,18,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,152.928,153.477,0.55,153.478,157.476,,0,,,157.477,158.476,0,19,19,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,158.477,159.526,1.05,159.527,163.524,,0,,,163.524,164.528,0,20,20,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,164.53,166.076,1.55,166.079,170.076,,0,,,170.077,171.076,0,21,21,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,171.076,172.276,1.2,172.277,176.276,,0,,,176.277,177.277,0,22,22,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,177.277,178.777,1.5,178.778,182.775,,0,,,182.776,183.776,0,23,23,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,,,,,,,,,,,,,,,,,,,,,,183.776,211.51,space,17.724,,,,,,,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,211.524,212.818,1.3,212.818,216.818,,0,,,,,,,,,,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,0,0,0,10,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,216.818,218.368,1.55,218.369,222.369,,0,,,,,,,,,,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,0,1,1,23,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,222.369,223.718,1.35,223.719,227.718,,0,,,,,,,,,,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,0,2,2,1,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,227.719,229.267,1.55,229.268,233.268,,0,,,,,,,,,,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,0,3,3,12,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,233.273,234.168,0.9,234.169,238.168,,0,,,,,,,,,,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,0,4,4,21,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,238.168,239.118,0.95,239.119,243.118,,0,,,,,,,,,,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,0,5,5,6,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,243.119,244.419,1.3,244.421,248.418,,0,,,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,,,,,,0,6,6,43,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,248.419,249.468,1.05,249.469,253.468,,0,,,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,0,7,7,0,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,253.469,254.968,1.5,254.968,258.968,,0,,,,,,,,,,stim/blank.png,stim/incongRight.png,1,right,0,,,,,,0,8,8,40,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,258.969,259.868,0.9,259.869,263.869,,0,,,,,,,,,,stim/both.png,stim/incongRight.png,1,right,0,,,,,,0,9,9,44,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,263.869,265.27,1.4,265.273,269.268,,0,,,,,,,,,,stim/centre.png,stim/incongRight.png,1,right,0,,,,,,0,10,10,26,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,269.27,269.868,0.6,269.869,273.868,,0,,,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,0,11,11,5,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,273.869,275.318,1.45,275.319,279.318,,0,,,,,,,,,,stim/upper.png,stim/neutralRight.png,1,right,0,,,,,,0,12,12,27,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,279.319,279.918,0.6,279.92,283.918,,0,,,,,,,,,,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,0,13,13,11,1,,,,,,,,,
