location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
3\,0,22.584,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,22.585,52.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,52.093,94.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,94.457,95.112,0.65,95.114,99.111,,0,99.112,100.112,0,0,0,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,100.113,101.51,1.4,101.512,105.51,left,1,105.512,106.51,0,1,1,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,0.619,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,106.511,107.11,0.6,107.111,111.109,right,1,111.111,112.11,0,2,2,23,1,stim/both.png,stim/neutralRight.png,1,right,0,1.184,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,112.111,113.509,1.4,113.51,117.509,right,1,117.511,118.509,0,3,3,2,1,stim/centre.png,stim/congRight.png,1,right,0,0.784,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,118.509,119.109,0.6,119.11,123.108,left,0,123.109,124.109,0,4,4,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,0.8,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,124.109,124.508,0.4,124.509,128.508,left,1,128.51,129.508,0,5,5,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,1.198,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,129.508,130.457,0.95,130.458,134.457,right,1,134.458,135.457,0,6,6,0,1,stim/centre.png,stim/congRight.png,-1,right,0,0.702,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,135.458,135.957,0.5,135.959,139.957,right,0,139.959,140.957,0,7,7,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,0.815,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,140.958,141.906,0.95,141.907,145.907,left,1,145.909,146.906,0,8,8,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,1.119,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,146.907,148.206,1.3,148.208,152.206,right,1,152.207,153.206,0,9,9,13,1,stim/both.png,stim/congRight.png,-1,right,0,1.099,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,153.206,154.106,0.9,154.107,158.105,left,1,158.107,159.105,0,10,10,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,0.765,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,159.106,160.355,1.25,160.357,164.355,right,1,164.357,165.355,0,11,11,3,1,stim/both.png,stim/incongRight.png,-1,right,0,0.799,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,165.356,166.205,0.85,166.206,170.205,left,1,170.206,171.204,0,12,12,1,1,stim/both.png,stim/incongLeft.png,1,left,0,1.2,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,171.205,172.004,0.8,172.005,176.004,left,1,176.007,177.004,0,13,13,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,0.651,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,177.005,178.504,1.5,178.506,182.503,left,1,182.506,183.503,0,14,14,4,1,stim/centre.png,stim/congLeft.png,1,left,0,0.599,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,183.504,184.153,0.65,184.154,188.153,right,1,188.154,189.153,0,15,15,11,1,stim/upper.png,stim/incongRight.png,1,right,0,0.55,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,189.153,189.903,0.75,189.904,193.902,left,1,193.903,194.902,0,16,16,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,0.548,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,194.903,195.302,0.4,195.303,199.302,right,1,199.303,200.302,0,17,17,18,1,stim/blank.png,stim/congRight.png,-1,right,0,0.882,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,200.303,201.602,1.3,201.603,205.601,right,1,205.602,206.601,0,18,18,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,0.682,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,206.602,208.151,1.55,208.152,212.151,left,1,212.152,213.151,0,19,19,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,0.632,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,213.151,213.551,0.4,213.551,217.551,left,1,217.553,218.55,0,20,20,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.716,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,218.552,220,1.45,220.002,224,left,1,224.001,225,0,21,21,5,1,stim/both.png,stim/congLeft.png,-1,left,0,0.449,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,225.001,225.95,0.95,225.951,229.949,left,1,229.951,230.949,0,22,22,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,0.516,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,230.95,231.699,0.75,231.7,235.699,left,1,235.7,236.699,0,23,23,6,1,stim/blank.png,stim/congLeft.png,1,left,0,0.601,,,,,,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,,,,,,,,,,,,,,,,,,,,,,236.706,248.908,space,2.185,,,,,,,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,248.919,249.515,0.6,249.516,253.514,right,1,,,,,,,,stim/both.png,stim/congRight.png,-1,right,0,0.601,,,,,,,0,0,0,13,1,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,253.515,254.314,0.8,254.315,258.314,left,1,,,,,,,,stim/blank.png,stim/congLeft.png,-1,left,0,0.6,,,,,,,0,1,1,15,1,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,258.315,259.713,1.4,259.714,263.713,left,1,,,,,,,,stim/centre.png,stim/incongLeft.png,1,left,0,0.865,,,,,,,0,2,2,46,1,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,263.714,264.113,0.4,264.114,268.113,left,1,,,,,,,,stim/centre.png,stim/incongLeft.png,-1,left,0,0.667,,,,,,,0,3,3,21,1,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,268.114,269.562,1.45,269.563,273.562,left,1,,,,,,,,stim/lower.png,stim/congLeft.png,-1,left,0,0.417,,,,,,,0,4,4,12,1,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,273.563,274.062,0.5,274.064,278.062,right,1,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,0.517,,,,,,,0,5,5,3,1,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,278.063,279.112,1.05,279.112,283.112,right,1,,,,,,,,stim/lower.png,stim/neutralRight.png,-1,right,0,0.515,,,,,,,0,6,6,28,1,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,283.113,283.811,0.7,283.812,287.812,right,1,,,,,,,,stim/centre.png,stim/neutralRight.png,-1,right,0,0.569,,,,,,,0,7,7,35,1,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,287.814,289.161,1.35,289.163,293.16,right,1,,,,,,,,stim/both.png,stim/neutralRight.png,1,right,0,0.7,,,,,,,0,8,8,23,1,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,293.161,294.36,1.2,294.361,298.36,right,1,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,0.4,,,,,,,0,9,9,43,1,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,298.361,299.76,1.4,299.761,303.76,left,1,,,,,,,,stim/blank.png,stim/neutralLeft.png,-1,left,0,0.483,,,,,,,0,10,10,32,1,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,303.76,304.31,0.55,304.311,308.309,left,1,,,,,,,,stim/both.png,stim/neutralLeft.png,-1,left,0,0.434,,,,,,,0,11,11,17,1,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,308.31,309.459,1.15,309.46,313.459,left,1,,,,,,,,stim/both.png,stim/incongLeft.png,1,left,0,1.034,,,,,,,0,12,12,1,1,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,313.459,313.859,0.4,313.86,317.858,right,1,,,,,,,,stim/blank.png,stim/neutralRight.png,1,right,0,0.55,,,,,,,0,13,13,39,1,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,317.859,319.358,1.5,319.359,323.358,left,1,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,0.649,,,,,,,0,14,14,9,1,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,323.359,324.008,0.65,324.009,328.007,left,1,,,,,,,,stim/centre.png,stim/congLeft.png,1,left,0,0.435,,,,,,,0,15,15,4,1,,,,,,,,,
3\,,,2026-03-10_14h59.06.095,ant_ver113,2025.2.3,MacIntel,50,3295,3295,,,,,328.008,329.557,1.55,329.558,333.557,left,1,,,,,,,,stim/upper.png,stim/congLeft.png,1,left,0,0.618,,,,,,,0,16,16,24,1,,,,,,,,,
