PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,pracLoop.order
0,10.767,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,10.768,21.401,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,,,21.402,32.251,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,,,,,32.275,32.868,0.6,32.869,36.868,left,1,0.511,,36.869,37.868,0,0,0,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,
,,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,,,,,37.869,38.417,0.55,38.418,42.418,right,1,0.533,,42.419,43.418,0,1,1,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,
,,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,,,,,43.418,44.568,1.15,44.568,48.568,left,1,0.519,,48.569,49.568,0,2,2,6,1,stim/blank.png,stim/congLeft.png,1,left,0,
,,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,,,,,49.568,51.067,1.5,51.068,55.067,left,1,0.518,,55.068,56.068,0,3,3,1,1,stim/both.png,stim/incongLeft.png,1,left,0,
,,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,,,,,56.069,57.418,1.35,57.419,61.418,left,1,0.402,,61.42,62.418,0,4,4,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,
,,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,,,,,62.419,63.868,1.45,63.869,67.867,left,1,0.583,,67.869,68.868,0,5,5,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,
,,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,,,,,68.869,69.768,0.9,69.769,73.768,left,1,0.806,,73.769,74.769,0,6,6,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,
,,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,,,,,74.769,75.368,0.6,75.369,79.369,left,1,0.637,,79.37,80.369,0,7,7,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,
,,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,,,,,80.37,81.519,1.15,81.519,85.519,right,1,0.52,,85.52,86.519,0,8,8,0,1,stim/centre.png,stim/congRight.png,-1,right,0,
,,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,,,,,86.52,88.069,1.55,88.07,92.069,,0,,,92.07,93.069,0,9,9,18,1,stim/blank.png,stim/congRight.png,-1,right,0,
,,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,,,,,93.07,93.669,0.6,93.67,97.669,right,0,0.986,,97.67,98.669,0,10,10,4,1,stim/centre.png,stim/congLeft.png,1,left,0,
,,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,,,,,98.67,99.369,0.7,99.37,103.369,,0,,,103.37,104.369,0,11,11,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,
,,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,,,,,104.37,105.269,0.9,105.27,109.27,,0,,,109.27,110.269,0,12,12,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,
,,2026-01-17_13h04.33.783,ant_ver113,2025.2.3,MacIntel,58.82352941,126464,,,,,110.27,111.67,1.4,111.67,,,,,,,,0,13,13,3,1,stim/both.png,stim/incongRight.png,-1,right,0,23
