PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
0.0004,13.0964,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,13.0968,25.4293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,25.4296,45.8461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,45.8721,46.8123,0.95,46.8137,50.812,,0,50.8122,51.8118,0,0,0,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,51.8127,53.3121,1.5,53.313,57.3122,,0,57.3124,58.3122,0,1,1,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,58.3132,59.0121,0.7,59.0131,63.0123,,0,63.0124,64.0122,0,2,2,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,64.013,64.8123,0.8,64.8131,68.8122,left,1,68.8138,69.8123,0,3,3,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,0.5652,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,69.8128,70.7622,0.95,70.7634,74.7622,left,1,74.7635,75.7622,0,4,4,6,1,stim/blank.png,stim/congLeft.png,1,left,0,0.6172,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,75.7628,76.9623,1.2,76.9631,80.9623,left,1,80.9637,81.9622,0,5,5,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,0.6483,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,81.9628,82.9122,0.95,82.9133,86.9123,right,0,86.9134,87.9123,0,6,6,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,0.3777,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,87.9129,88.3623,0.45,88.363,92.3622,left,1,92.3635,93.3623,0,7,7,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,0.6359,,,,,,,,,,,,,,,,,,,,
