PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0,13.099,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,13.099,31.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,31.413,54.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,54.096,55.347,1.25,55.349,59.347,left,1,1.357,,59.348,60.347,0,0,0,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,60.349,61.646,1.3,61.648,65.647,left,1,0.687,,65.648,66.647,0,1,1,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,66.647,67.246,0.6,67.247,71.247,left,1,0.443,,71.248,72.247,0,2,2,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,72.247,73.446,1.2,73.447,77.447,left,0,0.458,,77.448,78.447,0,3,3,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,78.448,79.197,0.75,79.198,83.197,right,1,0.537,,83.198,84.197,0,4,4,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,84.198,85.697,1.5,85.698,89.697,right,1,1.22,,89.699,90.697,0,5,5,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,90.698,92.047,1.35,92.048,96.047,left,1,0.541,,96.049,97.046,0,6,6,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,97.047,97.497,0.45,97.498,101.497,left,1,0.469,,101.498,102.498,0,7,7,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,102.499,103.997,1.5,103.998,107.998,right,1,0.47,,107.999,108.997,0,8,8,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,108.998,109.498,0.5,109.498,113.498,right,1,0.568,,113.499,114.498,0,9,9,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,114.499,115.648,1.15,115.649,119.648,left,1,0.656,,119.649,120.648,0,10,10,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,120.648,121.348,0.7,121.349,125.348,left,1,0.532,,125.349,126.348,0,11,11,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,126.349,127.548,1.2,127.549,131.548,right,1,0.388,,131.548,132.547,0,12,12,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,132.547,133.698,1.15,133.699,137.698,right,0,0.487,,137.699,138.698,0,13,13,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,138.699,139.198,0.5,139.199,143.198,left,1,0.36,,143.199,144.199,0,14,14,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,144.2,145.498,1.3,145.499,149.499,right,0,0.451,,149.5,150.498,0,15,15,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,150.499,151.899,1.4,151.899,155.899,left,1,0.533,,155.9,156.899,0,16,16,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,
