PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.order
0.0002,15.2392,2026-01-20_12h48.34.792,ant_ver113,2025.2.3,MacIntel,119.047619,126600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h48.34.792,ant_ver113,2025.2.3,MacIntel,119.047619,126600,15.2394,35.2392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h48.34.792,ant_ver113,2025.2.3,MacIntel,119.047619,126600,,,35.2393,51.9557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h48.34.792,ant_ver113,2025.2.3,MacIntel,119.047619,126600,,,,,51.9724,53.1732,1.2,53.1758,57.1731,,0,57.1738,58.1721,0,0,0,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h48.34.792,ant_ver113,2025.2.3,MacIntel,119.047619,126600,,,,,58.1726,59.1718,1,59.1723,63.172,left,1,63.1729,64.1722,0,1,1,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,0.9439,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h48.34.792,ant_ver113,2025.2.3,MacIntel,119.047619,126600,,,,,64.1733,65.0722,0.9,65.0732,69.0717,right,1,69.0724,70.0721,0,2,2,13,1,stim/both.png,stim/congRight.png,-1,right,0,0.6715,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h48.34.792,ant_ver113,2025.2.3,MacIntel,119.047619,126600,,,,,70.0731,71.1718,1.1,71.1724,75.1707,left,1,75.1715,76.1717,0,3,3,4,1,stim/centre.png,stim/congLeft.png,1,left,0,0.7723,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h48.34.792,ant_ver113,2025.2.3,MacIntel,119.047619,126600,,,,,76.172,77.2225,1.05,77.2236,81.2217,right,0,81.2223,82.2221,0,4,4,1,1,stim/both.png,stim/incongLeft.png,1,left,0,1.3142,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h48.34.792,ant_ver113,2025.2.3,MacIntel,119.047619,126600,,,,,82.2229,82.6217,0.4,82.6222,86.6217,right,1,86.6225,87.6221,0,5,5,2,1,stim/centre.png,stim/congRight.png,1,right,0,0.7359,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h48.34.792,ant_ver113,2025.2.3,MacIntel,119.047619,126600,,,,,87.623,89.1719,1.55,89.1729,93.1715,left,1,93.1718,94.1717,0,6,6,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,1.0469,,,,,,,,,,,,,,,,,,,,
