PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation
0.0006,10.3359,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,10.3361,21.0186,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,21.0188,33.3197,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,33.3449,34.2362,0.9,34.2371,38.2366,right,1,0.6526,,38.2369,39.2353,0,0,0,0,1,stim/centre.png,stim/congRight.png,-1,right,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,39.2359,40.436,1.2,40.4368,44.4354,right,1,1.2658,,44.4363,45.4353,0,1,1,23,1,stim/both.png,stim/neutralRight.png,1,right,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,45.436,46.4365,1,46.437,50.4357,left,1,0.6996,,50.4364,51.4365,0,2,2,4,1,stim/centre.png,stim/congLeft.png,1,left,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,51.4369,52.9356,1.5,52.9362,56.9366,right,1,0.5677,,56.9373,57.9366,0,3,3,2,1,stim/centre.png,stim/congRight.png,1,right,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,57.937,58.4857,0.55,58.4862,62.4859,left,1,0.6655,,62.4867,63.4867,0,4,4,5,1,stim/both.png,stim/congLeft.png,-1,left,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,63.4871,64.0867,0.6,64.0873,68.0868,left,0,1.6494,,68.0876,69.0859,0,5,5,19,1,stim/lower.png,stim/incongRight.png,-1,right,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,69.0863,69.986,0.9,69.9865,73.9865,,0,,,73.9866,74.9869,0,6,6,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,74.9873,75.537,0.55,75.5376,79.5371,left,1,0.9003,,79.5379,80.537,0,7,7,20,1,stim/blank.png,stim/incongLeft.png,1,left,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,80.5375,81.7371,1.2,81.7376,85.7373,right,1,0.6822,,85.7382,86.7373,0,8,8,18,1,stim/blank.png,stim/congRight.png,-1,right,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,86.7377,87.3873,0.65,87.3879,91.3874,right,1,0.7546,,91.3882,92.3865,0,9,9,13,1,stim/both.png,stim/congRight.png,-1,right,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,92.3871,93.8375,1.45,93.838,97.8376,left,1,0.8831,,97.8382,98.8375,0,10,10,1,1,stim/both.png,stim/incongLeft.png,1,left,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,98.838,100.2876,1.45,100.2881,104.2868,left,1,0.6657,,104.2876,105.2877,0,11,11,15,1,stim/blank.png,stim/congLeft.png,-1,left,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,105.2881,105.9377,0.65,105.9382,109.9379,left,1,0.5493,,109.9389,110.9379,0,12,12,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,110.9384,111.9374,1,111.9379,115.9371,left,1,0.5332,,115.9378,116.9378,0,13,13,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,116.9383,117.8376,0.9,117.838,121.8371,left,1,0.5167,,121.838,122.8382,0,14,14,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,122.8386,124.1873,1.35,124.1878,128.1874,left,0,0.5333,,128.1881,129.1877,0,15,15,3,1,stim/both.png,stim/incongRight.png,-1,right,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,129.1881,129.5882,0.4,129.5887,133.5875,right,1,0.9319,,133.5883,134.5884,0,16,16,7,1,stim/blank.png,stim/incongRight.png,-1,right,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,134.5887,135.8384,1.25,135.839,139.8385,left,1,0.6824,,139.8392,140.8385,0,17,17,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,140.8389,141.5385,0.7,141.539,145.5378,right,1,0.8486,,145.5385,146.5388,0,18,18,11,1,stim/upper.png,stim/incongRight.png,1,right,0
,,2026-01-20_13h35.43.796,ant_ver113,2025.2.3,MacIntel,59.88023952,129751,,,,,146.5392,147.4378,0.9,147.4384,151.4388,left,1,0.5166,,151.4395,152.4388,0,19,19,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0
