PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
0.0007,11.7177,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,11.7182,28.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,28.4974,40.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,40.0412,40.4866,0.45,40.4887,44.4797,left,1,0.8186,,44.48,45.4797,0,0,0,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,45.481,46.7793,1.3,46.7806,50.7799,right,1,0.8676,,50.7815,51.7794,0,1,1,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,51.7804,53.0801,1.3,53.0819,57.0767,left,1,0.7647,,57.0794,58.0695,0,2,2,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,58.0709,58.7587,0.7,58.7606,62.7625,left,1,0.5385,,62.7632,63.7471,0,3,3,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,63.7476,64.2466,0.5,64.2475,68.2407,right,1,0.6334,,68.2419,69.2563,0,4,4,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,69.2572,70.1959,0.95,70.1973,74.1882,right,1,0.734,,74.1895,75.1959,0,5,5,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,75.1964,75.839,0.65,75.8401,79.8295,left,1,0.799,,79.8305,80.8289,0,6,6,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,80.8296,82.2798,1.45,82.2809,86.2759,left,1,0.7186,,86.2776,87.2744,0,7,7,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,87.2755,88.8297,1.55,88.8307,92.8297,right,1,0.8493,,92.8306,93.8371,0,8,8,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,93.8379,94.5798,0.75,94.5815,98.5794,left,1,0.7126,,98.5806,99.5793,0,9,9,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,99.58,101.1294,1.55,101.1311,105.1295,left,1,0.599,,105.1306,106.1309,0,10,10,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,106.1314,107.2313,1.1,107.2326,111.2243,right,1,0.6137,,111.2259,112.2382,0,11,11,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,112.2389,112.8912,0.65,112.8928,116.884,left,1,0.5404,,116.8856,117.8903,0,12,12,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,117.8912,118.4422,0.55,118.4438,122.4463,left,1,0.6687,,122.4477,123.4461,0,13,13,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,123.4467,124.1904,0.75,124.1919,128.186,left,1,0.599,,128.1873,129.1882,0,14,14,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,129.1893,130.4403,1.25,130.4419,134.4314,right,1,0.4977,,134.4325,135.4357,0,15,15,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,135.4361,136.8378,1.4,136.8393,140.8283,left,1,0.4685,,140.8295,141.8287,0,16,16,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,141.8293,142.5287,0.7,142.5301,146.5287,right,1,0.4904,,146.5303,147.5295,0,17,17,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,147.5303,148.8843,1.35,148.8851,152.8782,left,1,0.4007,,152.8792,153.8893,0,18,18,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,153.89,155.1286,1.25,155.1297,159.1288,right,1,0.5009,,159.1302,160.1242,0,19,19,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,160.1251,161.0227,0.9,161.0244,165.0175,right,1,0.4817,,165.0192,166.0244,0,20,20,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,166.0252,167.1705,1.15,167.1725,171.1614,left,1,0.3941,,171.1626,172.1614,0,21,21,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,172.1618,173.5026,1.35,173.5036,177.4955,left,1,0.4843,,177.4968,178.497,0,22,22,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,178.4975,179.3423,0.85,179.3432,183.3337,left,1,0.6548,,183.3352,184.342,0,23,23,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,,,,,,,,,,,,,,,,,,,,,,184.3432,200.6195,space,6.2424,,,,,,,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,200.6402,201.785,1.15,201.7856,205.7783,right,1,0.6357,,,,,,,,,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,0,0,0,11,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,205.7792,207.0276,1.25,207.0283,211.0236,left,1,0.4348,,,,,,,,,stim/lower.png,stim/neutralLeft.png,-1,left,0,,,,,,0,1,1,38,1,,,,,,,,,
